品质,味道,价格,分量,外观,物流,客服,粗粒度
"[0.11103744059801102, 0.33966782689094543, 0.5492947697639465]","[0.5717005729675293, 0.1650836020708084, 0.2632158398628235]","[0.035853657871484756, 0.6173900961875916, 0.346756249666214]","[0.08750931173563004, 0.3210768401622772, 0.5914138555526733]","[0.08504855632781982, 0.36355623602867126, 0.5513952374458313]","[0.1376509964466095, 0.32219669222831726, 0.540152370929718]","[0.07609034329652786, 0.39549005031585693, 0.528419554233551]","[0.42499181628227234, 0.45051309466362, 0.12449505925178528]"
"[0.0034134574234485626, 0.4514223039150238, 0.5451642274856567]","[0.00839182548224926, 0.4598648250102997, 0.5317433476448059]","[0.0064384411089122295, 0.46418505907058716, 0.5293764472007751]","[0.007199982181191444, 0.4172983169555664, 0.5755016803741455]","[0.014102617278695107, 0.4296586811542511, 0.5562387108802795]","[0.008391400799155235, 0.4514967203140259, 0.5401119589805603]","[0.006504392717033625, 0.4736749529838562, 0.5198207497596741]","[0.1186053529381752, 0.5556755065917969, 0.3257191479206085]"
"[0.005729848053306341, 0.5762805938720703, 0.417989581823349]","[0.010921326465904713, 0.45601126551628113, 0.5330674052238464]","[0.011967435479164124, 0.44584202766418457, 0.5421906113624573]","[0.008791296742856503, 0.4278301000595093, 0.5633785724639893]","[0.019822504371404648, 0.4290577471256256, 0.5511197447776794]","[0.007423232775181532, 0.437234491109848, 0.5553422570228577]","[0.008919542655348778, 0.44095560908317566, 0.5501248240470886]","[0.13908161222934723, 0.5518960356712341, 0.30902233719825745]"
"[0.005738286767154932, 0.4554120600223541, 0.5388496518135071]","[0.013494028709828854, 0.5864124894142151, 0.40009352564811707]","[0.0325513556599617, 0.4361003339290619, 0.5313482880592346]","[0.018991868942975998, 0.4177108108997345, 0.5632973313331604]","[0.019175980240106583, 0.4337284564971924, 0.5470955967903137]","[0.007328209932893515, 0.4290263056755066, 0.5636455416679382]","[0.006534168496727943, 0.44081345200538635, 0.5526523590087891]","[0.10001805424690247, 0.5445374846458435, 0.3554443418979645]"
"[0.2545357048511505, 0.28046125173568726, 0.4650031328201294]","[0.10408462584018707, 0.3483673334121704, 0.5475479960441589]","[0.18034642934799194, 0.24707187712192535, 0.5725817084312439]","[0.09645076096057892, 0.32616573572158813, 0.5773835182189941]","[0.16517600417137146, 0.26507091522216797, 0.569753110408783]","[0.19922082126140594, 0.2619463801383972, 0.5388327836990356]","[0.17049044370651245, 0.24974432587623596, 0.5797652006149292]","[0.4861162602901459, 0.5050683617591858, 0.008815363980829716]"
"[0.005474191624671221, 0.4553709328174591, 0.5391548871994019]","[0.00928801391273737, 0.4579368829727173, 0.5327750444412231]","[0.014546563848853111, 0.4483877718448639, 0.5370656847953796]","[0.00997780542820692, 0.4158443212509155, 0.5741778612136841]","[0.02315852977335453, 0.42252108454704285, 0.5543203353881836]","[0.009811756201088428, 0.4334861934185028, 0.5567020177841187]","[0.011637021787464619, 0.43218013644218445, 0.5561828017234802]","[0.1624297797679901, 0.5502712726593018, 0.28729894757270813]"
"[0.005233673844486475, 0.45029863715171814, 0.5444677472114563]","[0.009991953149437904, 0.4502820074558258, 0.5397259593009949]","[0.012002048082649708, 0.4518216848373413, 0.5361762046813965]","[0.009900395758450031, 0.42864635586738586, 0.5614532828330994]","[0.0270970668643713, 0.4233532249927521, 0.5495497584342957]","[0.009653582237660885, 0.4355107247829437, 0.5548356771469116]","[0.011132072657346725, 0.43537941575050354, 0.553488552570343]","[0.1573624461889267, 0.5516579151153564, 0.2909797430038452]"
"[0.0036337843630462885, 0.4549637734889984, 0.5414023995399475]","[0.009473523125052452, 0.45897185802459717, 0.531554639339447]","[0.009801621548831463, 0.46434321999549866, 0.5258551239967346]","[0.00694232527166605, 0.41842886805534363, 0.5746288895606995]","[0.022677944973111153, 0.4287014603614807, 0.5486205816268921]","[0.006547767203301191, 0.4312906563282013, 0.5621616244316101]","[0.008546657860279083, 0.43429771065711975, 0.5571556091308594]","[0.13880319893360138, 0.5518664717674255, 0.3093303143978119]"
"[0.007681977469474077, 0.4882102310657501, 0.5041078329086304]","[0.013200243934988976, 0.4546821713447571, 0.5321176648139954]","[0.011143503710627556, 0.4466487169265747, 0.5422077775001526]","[0.007363028358668089, 0.4239960014820099, 0.568640947341919]","[0.01935836486518383, 0.4283111095428467, 0.5523305535316467]","[0.0078084771521389484, 0.43593594431877136, 0.556255578994751]","[0.009989314712584019, 0.43753117322921753, 0.5524795055389404]","[0.17416462302207947, 0.5459328889846802, 0.27990251779556274]"
"[0.007835245691239834, 0.4388830363750458, 0.5532817244529724]","[0.010187647305428982, 0.4553796350955963, 0.5344327092170715]","[0.022885169833898544, 0.44415050745010376, 0.5329642295837402]","[0.015575830824673176, 0.40649092197418213, 0.5779333114624023]","[0.014911803416907787, 0.4424195885658264, 0.5426686406135559]","[0.007843198254704475, 0.4311537742614746, 0.5610030293464661]","[0.009066939353942871, 0.4348699152469635, 0.556063175201416]","[0.17819470167160034, 0.5480716228485107, 0.27373364567756653]"
"[0.012180221267044544, 0.5897244811058044, 0.3980952799320221]","[0.005500223487615585, 0.45904991030693054, 0.5354498624801636]","[0.04121077433228493, 0.5773035883903503, 0.38148561120033264]","[0.006251103710383177, 0.42780667543411255, 0.5659422278404236]","[0.02827349491417408, 0.4173734188079834, 0.5543531179428101]","[0.0069969408214092255, 0.4285863935947418, 0.5644167065620422]","[0.011589735746383667, 0.40658992528915405, 0.5818203091621399]","[0.0547054186463356, 0.5566327571868896, 0.38866183161735535]"
"[0.00716216117143631, 0.5631491541862488, 0.42968863248825073]","[0.007836648263037205, 0.5731886625289917, 0.41897475719451904]","[0.031168732792139053, 0.42397284507751465, 0.5448583960533142]","[0.02130628004670143, 0.42690202593803406, 0.5517916679382324]","[0.018255719915032387, 0.42791393399238586, 0.5538303256034851]","[0.004898624494671822, 0.43369731307029724, 0.5614041090011597]","[0.0053907735273242, 0.4451853334903717, 0.54942387342453]","[0.047521039843559265, 0.563660740852356, 0.3888182044029236]"
"[0.025928305462002754, 0.46125519275665283, 0.5128165483474731]","[0.012334068305790424, 0.5696501135826111, 0.41801589727401733]","[0.04809018224477768, 0.422966867685318, 0.528942883014679]","[0.017964113503694534, 0.43329423666000366, 0.5487416386604309]","[0.013453035615384579, 0.44666650891304016, 0.5398804545402527]","[0.005975204054266214, 0.442268967628479, 0.5517558455467224]","[0.006196923553943634, 0.4489286243915558, 0.5448744297027588]","[0.05285588279366493, 0.5577180981636047, 0.389426052570343]"
"[0.007306630257517099, 0.45503950119018555, 0.5376538634300232]","[0.012617780826985836, 0.44305264949798584, 0.5443295836448669]","[0.015660041943192482, 0.45026975870132446, 0.5340701937675476]","[0.011163486167788506, 0.4250558614730835, 0.5637807250022888]","[0.028961563482880592, 0.4213297963142395, 0.5497087240219116]","[0.011590414680540562, 0.4338720440864563, 0.5545375943183899]","[0.01321297325193882, 0.4303050935268402, 0.5564819574356079]","[0.20932291448116302, 0.5583340525627136, 0.23234297335147858]"
"[0.05023457109928131, 0.3936586081981659, 0.5561067461967468]","[0.03965512663125992, 0.4084908962249756, 0.5518540143966675]","[0.079959936439991, 0.39730581641197205, 0.5227342844009399]","[0.05124203860759735, 0.3892991542816162, 0.55945885181427]","[0.05656011402606964, 0.39344078302383423, 0.5499991178512573]","[0.05321846529841423, 0.41116204857826233, 0.5356194972991943]","[0.06556643545627594, 0.37585535645484924, 0.5585781931877136]","[0.4823932945728302, 0.49653467535972595, 0.02107197418808937]"
"[0.06777521967887878, 0.3759410083293915, 0.5562838315963745]","[0.0957658588886261, 0.3863219618797302, 0.5179122686386108]","[0.23545368015766144, 0.30166664719581604, 0.4628797173500061]","[0.08505994081497192, 0.3645923137664795, 0.5503478050231934]","[0.0590750090777874, 0.3951944410800934, 0.5457305312156677]","[0.1278257966041565, 0.347785621881485, 0.5243885517120361]","[0.09063251316547394, 0.3276723325252533, 0.5816951394081116]","[0.572741687297821, 0.4158106744289398, 0.01144770160317421]"
"[0.11383403837680817, 0.38165825605392456, 0.5045077800750732]","[0.06438767164945602, 0.40298208594322205, 0.532630205154419]","[0.12864911556243896, 0.3836774230003357, 0.48767346143722534]","[0.029911275953054428, 0.38566508889198303, 0.5844236612319946]","[0.07642240822315216, 0.3889150321483612, 0.5346626043319702]","[0.052843812853097916, 0.41400855779647827, 0.5331475734710693]","[0.06568776816129684, 0.39461520314216614, 0.5396971106529236]","[0.3231390118598938, 0.5397398471832275, 0.13712100684642792]"
"[0.015088864602148533, 0.5765711665153503, 0.4083399474620819]","[0.00914076343178749, 0.4667392671108246, 0.524120032787323]","[0.011146956123411655, 0.5510234832763672, 0.43782952427864075]","[0.007663438096642494, 0.4326027035713196, 0.5597339272499084]","[0.013929761946201324, 0.43786385655403137, 0.5482063889503479]","[0.005180492531508207, 0.4405409097671509, 0.554278552532196]","[0.006198113784193993, 0.4355410933494568, 0.5582607984542847]","[0.07986157387495041, 0.5511765480041504, 0.3689618408679962]"
"[0.005014417693018913, 0.44031599164009094, 0.5546695590019226]","[0.006458223797380924, 0.4646485447883606, 0.528893232345581]","[0.010332764126360416, 0.5617726445198059, 0.4278945326805115]","[0.007317178882658482, 0.4154089689254761, 0.5772739052772522]","[0.011609592474997044, 0.4328770339488983, 0.5555133819580078]","[0.0064674499444663525, 0.4334033131599426, 0.5601292848587036]","[0.006438093259930611, 0.5452502965927124, 0.4483116865158081]","[0.09416323155164719, 0.5508427023887634, 0.3549940288066864]"
"[0.007182301953434944, 0.5901423692703247, 0.4026753008365631]","[0.00698210671544075, 0.4693760275840759, 0.52364182472229]","[0.011900755576789379, 0.43767252564430237, 0.550426721572876]","[0.009127755649387836, 0.4303232431411743, 0.5605489015579224]","[0.013441783376038074, 0.43653953075408936, 0.5500186085700989]","[0.007803740445524454, 0.5112010836601257, 0.48099520802497864]","[0.007737721782177687, 0.46213123202323914, 0.5301310420036316]","[0.10667470097541809, 0.5518913269042969, 0.3414340317249298]"
"[0.0048493146896362305, 0.559299647808075, 0.43585100769996643]","[0.004756206180900335, 0.47591862082481384, 0.5193251967430115]","[0.014165536500513554, 0.543125569820404, 0.44270890951156616]","[0.0042504118755459785, 0.4276283383369446, 0.5681212544441223]","[0.010439315810799599, 0.4383727014064789, 0.5511879920959473]","[0.0037719670217484236, 0.4406372606754303, 0.555590808391571]","[0.004519449081271887, 0.44610244035720825, 0.5493781566619873]","[0.06172839552164078, 0.5549685955047607, 0.3833029866218567]"
"[0.006355675868690014, 0.554458737373352, 0.43918561935424805]","[0.010676216334104538, 0.5274033546447754, 0.4619204103946686]","[0.010577774606645107, 0.5673025846481323, 0.4221196174621582]","[0.007949410937726498, 0.4163115918636322, 0.5757389664649963]","[0.010891132056713104, 0.4406422972679138, 0.5484666228294373]","[0.006519636604934931, 0.4316934049129486, 0.561786949634552]","[0.006193587556481361, 0.437354177236557, 0.5564522743225098]","[0.09037141501903534, 0.5636811852455139, 0.34594735503196716]"
"[0.012170355767011642, 0.4333859384059906, 0.5544437170028687]","[0.019906310364603996, 0.4519544839859009, 0.5281392335891724]","[0.012180964462459087, 0.44851231575012207, 0.5393067598342896]","[0.008619987405836582, 0.422583669424057, 0.5687963366508484]","[0.04023998603224754, 0.41124871373176575, 0.548511266708374]","[0.01310618408024311, 0.44097280502319336, 0.5459210276603699]","[0.013016846962273121, 0.42975685000419617, 0.557226300239563]","[0.22523844242095947, 0.5551970601081848, 0.2195645123720169]"
"[0.008547275327146053, 0.5769923329353333, 0.4144603908061981]","[0.0057541546411812305, 0.47503861784935, 0.5192071795463562]","[0.007371887564659119, 0.5625120401382446, 0.43011602759361267]","[0.007985956035554409, 0.4179086685180664, 0.5741053223609924]","[0.014508366584777832, 0.4335486888885498, 0.5519428849220276]","[0.004381509963423014, 0.44424834847450256, 0.5513701438903809]","[0.005316588096320629, 0.44355273246765137, 0.5511305928230286]","[0.09646579623222351, 0.559467613697052, 0.3440665602684021]"
"[0.011633272282779217, 0.5646927356719971, 0.42367398738861084]","[0.005768917500972748, 0.46855467557907104, 0.5256763696670532]","[0.014931421726942062, 0.4890918433666229, 0.4959767758846283]","[0.007112535182386637, 0.42564305663108826, 0.5672444105148315]","[0.014436768367886543, 0.4276329576969147, 0.5579302310943604]","[0.00911637395620346, 0.4466962516307831, 0.5441873669624329]","[0.009326868690550327, 0.4781259298324585, 0.5125472545623779]","[0.12364134192466736, 0.55850750207901, 0.3178512454032898]"
"[0.0064841145649552345, 0.45039913058280945, 0.5431167483329773]","[0.01413741335272789, 0.45066365599632263, 0.535198986530304]","[0.015933949500322342, 0.4506183862686157, 0.5334476232528687]","[0.013484288938343525, 0.4234469532966614, 0.5630688071250916]","[0.019886251538991928, 0.4326416552066803, 0.5474720597267151]","[0.010903089307248592, 0.4363414943218231, 0.5527554154396057]","[0.012564406730234623, 0.4328501224517822, 0.5545855164527893]","[0.2507180869579315, 0.5377630591392517, 0.21151891350746155]"
"[0.004871962126344442, 0.4483362138271332, 0.5467918515205383]","[0.01448766328394413, 0.5802625417709351, 0.40524980425834656]","[0.013243797235190868, 0.5717424750328064, 0.41501373052597046]","[0.015838082879781723, 0.4043978452682495, 0.5797641277313232]","[0.018300572410225868, 0.4390493631362915, 0.542650043964386]","[0.008816626854240894, 0.4325453042984009, 0.5586380362510681]","[0.005673754960298538, 0.43812692165374756, 0.5561993718147278]","[0.07773905992507935, 0.5622172355651855, 0.3600436747074127]"
"[0.06339933723211288, 0.3887954652309418, 0.5478051900863647]","[0.031783003360033035, 0.4331234097480774, 0.5350935459136963]","[0.03387872129678726, 0.42730751633644104, 0.5388137698173523]","[0.02019626833498478, 0.4181657135486603, 0.5616380572319031]","[0.05749216675758362, 0.3922109305858612, 0.5502969622612]","[0.026736445724964142, 0.42384740710258484, 0.549416184425354]","[0.025936784222722054, 0.41515904664993286, 0.5589041709899902]","[0.314574271440506, 0.5676467418670654, 0.11777906119823456]"
"[0.009212915785610676, 0.577538013458252, 0.41324904561042786]","[0.009184388443827629, 0.4696047306060791, 0.5212108492851257]","[0.01625772751867771, 0.43929120898246765, 0.5444510579109192]","[0.007396067958325148, 0.430542916059494, 0.5620609521865845]","[0.015780478715896606, 0.4321063756942749, 0.5521131157875061]","[0.00975688174366951, 0.43180781602859497, 0.5584352612495422]","[0.009912563487887383, 0.42909857630729675, 0.5609889030456543]","[0.10947944223880768, 0.5576096177101135, 0.3329108655452728]"
"[0.013340777717530727, 0.4463159143924713, 0.5403432846069336]","[0.017526432871818542, 0.4428671598434448, 0.5396063923835754]","[0.027097947895526886, 0.5640873312950134, 0.4088146984577179]","[0.02068951353430748, 0.40894612669944763, 0.5703644156455994]","[0.04120534285902977, 0.4082030653953552, 0.5505915880203247]","[0.02079520933330059, 0.4203844964504242, 0.5588203072547913]","[0.018663255497813225, 0.40347820520401, 0.5778585076332092]","[0.20561139285564423, 0.5871390700340271, 0.20724953711032867]"
"[0.03164263069629669, 0.5320650339126587, 0.43629223108291626]","[0.019277622923254967, 0.4618788957595825, 0.5188435316085815]","[0.013297821395099163, 0.44182679057121277, 0.5448753833770752]","[0.016169900074601173, 0.4158259332180023, 0.5680042505264282]","[0.04325574263930321, 0.40159639716148376, 0.5551478862762451]","[0.026755955070257187, 0.43206512928009033, 0.5411788821220398]","[0.024982761591672897, 0.42604291439056396, 0.548974335193634]","[0.38055360317230225, 0.5016023516654968, 0.11784401535987854]"
"[0.005461185704916716, 0.4486600160598755, 0.5458788275718689]","[0.013297655619680882, 0.459507554769516, 0.5271947979927063]","[0.011050496250391006, 0.46880531311035156, 0.5201441645622253]","[0.00926380604505539, 0.4267122745513916, 0.5640239119529724]","[0.014016342349350452, 0.43917936086654663, 0.5468043088912964]","[0.010034958831965923, 0.4354017972946167, 0.5545632243156433]","[0.01150129921734333, 0.43643832206726074, 0.5520604252815247]","[0.18614910542964935, 0.5473679304122925, 0.26648297905921936]"
"[0.0071481638588011265, 0.5811092257499695, 0.4117426872253418]","[0.007582671009004116, 0.46570125222206116, 0.5267160534858704]","[0.017057811841368675, 0.5213717818260193, 0.4615703225135803]","[0.011465033516287804, 0.4244808852672577, 0.5640540719032288]","[0.025290856137871742, 0.4262886941432953, 0.5484204888343811]","[0.006742988247424364, 0.4420493543148041, 0.5512076020240784]","[0.007478449493646622, 0.44147631525993347, 0.5510451793670654]","[0.0851357951760292, 0.5526710152626038, 0.36219316720962524]"
"[0.02432309463620186, 0.44068437814712524, 0.534992516040802]","[0.01772117055952549, 0.5772313475608826, 0.4050474464893341]","[0.19852185249328613, 0.3581821620464325, 0.44329604506492615]","[0.025034699589014053, 0.4054569900035858, 0.5695083141326904]","[0.017837416380643845, 0.4299362599849701, 0.5522263050079346]","[0.007393240928649902, 0.4227358102798462, 0.5698710083961487]","[0.011936647817492485, 0.4966077208518982, 0.49145570397377014]","[0.02136928401887417, 0.5184057354927063, 0.46022504568099976]"
"[0.04841621592640877, 0.40377363562583923, 0.5478101968765259]","[0.09691236913204193, 0.4943435788154602, 0.40874409675598145]","[0.04265432804822922, 0.4223231375217438, 0.535022497177124]","[0.031849198043346405, 0.41346633434295654, 0.5546844005584717]","[0.0440988726913929, 0.4082043766975403, 0.5476967692375183]","[0.050506748259067535, 0.40618711709976196, 0.5433061718940735]","[0.0353107787668705, 0.40474364161491394, 0.5599455833435059]","[0.3802630305290222, 0.5611899495124817, 0.058546971529722214]"
"[0.004677727818489075, 0.5734487175941467, 0.4218735694885254]","[0.009623936377465725, 0.46206238865852356, 0.5283136963844299]","[0.009912782348692417, 0.5809025168418884, 0.40918460488319397]","[0.010536610148847103, 0.4230091869831085, 0.5664542317390442]","[0.018415994942188263, 0.4182353913784027, 0.563348650932312]","[0.005679614841938019, 0.4387246072292328, 0.5555957555770874]","[0.007326004095375538, 0.4385080337524414, 0.5541660189628601]","[0.09227902442216873, 0.5593481659889221, 0.34837284684181213]"
"[0.007454987615346909, 0.5658637881278992, 0.42668119072914124]","[0.009210275486111641, 0.506828784942627, 0.48396095633506775]","[0.013091493397951126, 0.45190414786338806, 0.5350043177604675]","[0.011391403153538704, 0.4289577305316925, 0.5596508979797363]","[0.01737154647707939, 0.4243873655796051, 0.5582411289215088]","[0.012063573114573956, 0.4340587556362152, 0.5538777709007263]","[0.012442340143024921, 0.4294626712799072, 0.5580950379371643]","[0.0968749150633812, 0.5531657338142395, 0.3499593436717987]"
"[0.00677128043025732, 0.5735318064689636, 0.4196969270706177]","[0.007582764141261578, 0.4599847197532654, 0.532432496547699]","[0.030604125931859016, 0.44406214356422424, 0.5253337025642395]","[0.008238477632403374, 0.43688657879829407, 0.5548748970031738]","[0.025158341974020004, 0.4316360056400299, 0.5432056784629822]","[0.008051314391195774, 0.43962380290031433, 0.5523248910903931]","[0.010164201259613037, 0.4382795989513397, 0.5515562295913696]","[0.09287366271018982, 0.5523024797439575, 0.3548237979412079]"
"[0.004784818273037672, 0.4513888657093048, 0.5438263416290283]","[0.012561734765768051, 0.5588404536247253, 0.42859774827957153]","[0.014907943084836006, 0.5590237975120544, 0.4260682165622711]","[0.005873879883438349, 0.43255308270454407, 0.5615730285644531]","[0.00854524876922369, 0.4406304657459259, 0.5508242845535278]","[0.00722532020881772, 0.43349552154541016, 0.5592791438102722]","[0.006612598430365324, 0.44437849521636963, 0.5490089058876038]","[0.08785183727741241, 0.5478039383888245, 0.3643442988395691]"
"[0.018214644864201546, 0.5174368619918823, 0.4643484354019165]","[0.011577488854527473, 0.44975927472114563, 0.5386631488800049]","[0.032159850001335144, 0.43476712703704834, 0.5330730676651001]","[0.021681958809494972, 0.41480451822280884, 0.563513457775116]","[0.0277960654348135, 0.4233068525791168, 0.5488970875740051]","[0.015795210376381874, 0.4396466016769409, 0.5445581674575806]","[0.01928083412349224, 0.4221186339855194, 0.5586005449295044]","[0.392744779586792, 0.5502125024795532, 0.0570426844060421]"
"[0.037116218358278275, 0.48769140243530273, 0.4751923680305481]","[0.021198874339461327, 0.4502362012863159, 0.5285648703575134]","[0.03940576687455177, 0.43005242943763733, 0.5305417776107788]","[0.03439490497112274, 0.409960001707077, 0.5556451082229614]","[0.056747231632471085, 0.40235835313796997, 0.5408943891525269]","[0.03601161390542984, 0.4135989248752594, 0.5503894686698914]","[0.03440501168370247, 0.40740713477134705, 0.5581878423690796]","[0.4585035741329193, 0.5081579089164734, 0.03333858400583267]"
"[0.044261399656534195, 0.4527532756328583, 0.5029852390289307]","[0.02594536542892456, 0.4351162612438202, 0.5389383435249329]","[0.024120723828673363, 0.4347493350505829, 0.5411299467086792]","[0.03490182012319565, 0.41450005769729614, 0.5505980253219604]","[0.049100734293460846, 0.39180266857147217, 0.55909663438797]","[0.12135869264602661, 0.5033183693885803, 0.3753229081630707]","[0.020337622612714767, 0.4109640419483185, 0.5686982870101929]","[0.4342038333415985, 0.5036251544952393, 0.06217103451490402]"
"[0.016375916078686714, 0.4339714050292969, 0.5496526956558228]","[0.014334210194647312, 0.44833308458328247, 0.5373327732086182]","[0.02529340423643589, 0.44537225365638733, 0.5293343663215637]","[0.019126279279589653, 0.4224300682544708, 0.5584436058998108]","[0.03604212403297424, 0.4169502556324005, 0.5470075607299805]","[0.01667483150959015, 0.4369892477989197, 0.5463359355926514]","[0.019469033926725388, 0.42288923263549805, 0.5576417446136475]","[0.32838404178619385, 0.5556674599647522, 0.11594857275485992]"
"[0.13373850286006927, 0.34444737434387207, 0.5218141674995422]","[0.08325151354074478, 0.3711704611778259, 0.545578122138977]","[0.09632206708192825, 0.38929009437561035, 0.514387845993042]","[0.08238650113344193, 0.3614329695701599, 0.5561805367469788]","[0.08045941591262817, 0.3840065896511078, 0.5355339646339417]","[0.06764643639326096, 0.3808358907699585, 0.5515176653862]","[0.07912538945674896, 0.3592158257961273, 0.5616587996482849]","[0.4955851435661316, 0.4786026179790497, 0.025812311097979546]"
"[0.0065761045552790165, 0.4581863284111023, 0.5352375507354736]","[0.01061862800270319, 0.4577924311161041, 0.5315889120101929]","[0.017114296555519104, 0.45937928557395935, 0.5235064625740051]","[0.011337364092469215, 0.41933315992355347, 0.5693294405937195]","[0.025329839438199997, 0.4250108599662781, 0.5496593117713928]","[0.010243259370326996, 0.4337654113769531, 0.5559912919998169]","[0.012309427373111248, 0.43092015385627747, 0.5567704439163208]","[0.1944914013147354, 0.5472374558448792, 0.2582712471485138]"
"[0.013531959615647793, 0.5535336136817932, 0.432934433221817]","[0.006596446502953768, 0.47157543897628784, 0.5218281149864197]","[0.005700384732335806, 0.4347161054611206, 0.5595834255218506]","[0.009278890676796436, 0.4216502606868744, 0.5690708160400391]","[0.016766170039772987, 0.4288429021835327, 0.5543909668922424]","[0.004368875175714493, 0.444943368434906, 0.5506876707077026]","[0.006595197599381208, 0.440931499004364, 0.5524733066558838]","[0.13859449326992035, 0.5620758533477783, 0.2993296682834625]"
"[0.08050408959388733, 0.3574551045894623, 0.5620408058166504]","[0.10339611768722534, 0.34967732429504395, 0.5469266176223755]","[0.1692860722541809, 0.30594509840011597, 0.5247687697410583]","[0.09687680751085281, 0.3415443003177643, 0.5615788698196411]","[0.08279189467430115, 0.35933592915534973, 0.5578721761703491]","[0.14264440536499023, 0.311730295419693, 0.5456252694129944]","[0.15322957932949066, 0.27127841114997864, 0.5754920244216919]","[0.5935316681861877, 0.3962799608707428, 0.010188356041908264]"
"[0.03465931862592697, 0.4212605357170105, 0.5440801978111267]","[0.025583017617464066, 0.4324565529823303, 0.5419603586196899]","[0.09040026366710663, 0.38688531517982483, 0.5227144360542297]","[0.05366639420390129, 0.3868534564971924, 0.5594801902770996]","[0.042520809918642044, 0.41317614912986755, 0.5443030595779419]","[0.04674774780869484, 0.41941797733306885, 0.5338342785835266]","[0.04298703372478485, 0.3770773112773895, 0.5799356698989868]","[0.5607655644416809, 0.42289960384368896, 0.01633486896753311]"
"[0.002495821798220277, 0.563015341758728, 0.43448883295059204]","[0.006284240633249283, 0.4524660110473633, 0.5412497520446777]","[0.022859403863549232, 0.5531831383705139, 0.4239574372768402]","[0.0056506493128836155, 0.43777960538864136, 0.5565697550773621]","[0.009959991089999676, 0.4438565671443939, 0.5461834669113159]","[0.008044866845011711, 0.4517304301261902, 0.5402247905731201]","[0.008833047933876514, 0.42830657958984375, 0.5628604292869568]","[0.08434692770242691, 0.5547726154327393, 0.3608805239200592]"
"[0.004424872808158398, 0.5259346961975098, 0.46964046359062195]","[0.0199739970266819, 0.4697989225387573, 0.5102270841598511]","[0.09298690408468246, 0.5614877343177795, 0.345525324344635]","[0.04193264991044998, 0.48570218682289124, 0.47236520051956177]","[0.01802576705813408, 0.45952296257019043, 0.5224512815475464]","[0.015751753002405167, 0.43822526931762695, 0.5460229516029358]","[0.016892310231924057, 0.41581037640571594, 0.5672972798347473]","[0.05754988640546799, 0.569450855255127, 0.3729992210865021]"
"[0.0034230705350637436, 0.5476281046867371, 0.44894886016845703]","[0.009858671575784683, 0.4910024106502533, 0.4991389513015747]","[0.0745835155248642, 0.5623355507850647, 0.3630809485912323]","[0.017255039885640144, 0.45843586325645447, 0.5243090987205505]","[0.022859593853354454, 0.42963650822639465, 0.5475038886070251]","[0.016803031787276268, 0.4309203028678894, 0.5522766709327698]","[0.017293395474553108, 0.42468181252479553, 0.5580248832702637]","[0.06678486615419388, 0.5536857843399048, 0.37952926754951477]"
"[0.008875350467860699, 0.5159158706665039, 0.4752087891101837]","[0.006179329939186573, 0.47263094782829285, 0.5211896300315857]","[0.02216777577996254, 0.522769033908844, 0.45506322383880615]","[0.004404470324516296, 0.4016839861869812, 0.5939115285873413]","[0.010346501134335995, 0.4398239254951477, 0.5498296022415161]","[0.005360396578907967, 0.4367450475692749, 0.5578945875167847]","[0.008309624157845974, 0.5107965469360352, 0.4808938503265381]","[0.09638650715351105, 0.553161084651947, 0.35045233368873596]"
"[0.010750662535429, 0.4660916328430176, 0.5231577157974243]","[0.033690761774778366, 0.5385242104530334, 0.42778506875038147]","[0.06168278306722641, 0.5540951490402222, 0.3842220604419708]","[0.02384219504892826, 0.4081304371356964, 0.5680273771286011]","[0.018032489344477654, 0.43815430998802185, 0.543813169002533]","[0.027322903275489807, 0.4164896011352539, 0.5561874508857727]","[0.016875142231583595, 0.42226749658584595, 0.560857355594635]","[0.22988693416118622, 0.5631694793701172, 0.2069435566663742]"
"[0.007774867117404938, 0.4555491805076599, 0.5366759300231934]","[0.01248850580304861, 0.44962790608406067, 0.5378835201263428]","[0.017877353355288506, 0.4444970190525055, 0.5376256108283997]","[0.014637462794780731, 0.4264160692691803, 0.5589465498924255]","[0.017588555812835693, 0.4309433698654175, 0.551468014717102]","[0.01526919100433588, 0.4319281280040741, 0.5528026819229126]","[0.015079381875693798, 0.42811667919158936, 0.5568039417266846]","[0.2364814579486847, 0.5429571866989136, 0.22056137025356293]"
"[0.006244788412004709, 0.45391592383384705, 0.5398392677307129]","[0.011078165844082832, 0.44924601912498474, 0.5396758317947388]","[0.023264586925506592, 0.5569688081741333, 0.4197666049003601]","[0.010998762212693691, 0.42686235904693604, 0.5621388554573059]","[0.011751609854400158, 0.4443577527999878, 0.543890655040741]","[0.013065414503216743, 0.43068891763687134, 0.5562456846237183]","[0.012142934836447239, 0.4317266047000885, 0.5561304688453674]","[0.17460425198078156, 0.5452027916908264, 0.28019291162490845]"
"[0.012350677512586117, 0.445371150970459, 0.5422782301902771]","[0.01733129471540451, 0.4411759078502655, 0.5414928793907166]","[0.03684917837381363, 0.4427730441093445, 0.5203777551651001]","[0.024000680074095726, 0.41981783509254456, 0.5561814904212952]","[0.028767196461558342, 0.41835951805114746, 0.5528732538223267]","[0.030635900795459747, 0.420023649930954, 0.5493403673171997]","[0.02471659705042839, 0.41038283705711365, 0.5649005174636841]","[0.4410502314567566, 0.5110430121421814, 0.04790676385164261]"
