分词,评分,评论时间
柚 很 好 前 些 天 超市 水果 店 都 没 卖 网上 看看 对比 一下 这家 店 买 近 很 快 货 水分 足 果肉 饱满 好吃 做 饮料 吃 都 好,5,2021-08-21 22:06:51
红心 蜜柚 酸酸 甜甜 秋天 干燥 吃 柚子 最 合适,5,2021-10-12 19:46:20
牛,5,2021-10-12 19:09:44
味道 不错 稍微 点 酸 好吃,5,2021-10-11 16:27:24
果子 不 太 大 价格 优惠,5,2021-10-10 20:36:54
果子 不 太 大 价格 差不多,5,2021-10-10 20:36:13
不错 挺 甜 水分,5,2021-10-10 09:58:47
不错,5,2021-10-10 08:35:07
很 棒,5,2021-10-10 06:35:48
汁 肉 嫩份量 十足 物流 很快,5,2021-10-06 15:58:23
觉得 很 不错 商品 质量 好 发货 挺 快 很 赞 真的 好 喜欢 客服 态度 挺 好 值 以后 需要 还 会 买,5,2021-10-06 10:49:15
柚子 蛮 好吃,5,2021-10-06 08:41:28
味道,5,2021-10-05 19:15:34
柚子 吃 一点 败火 还 补充 维生素 c 很 甜 很 新鲜 果肉 细腻 价格 还 比较 便宜 柚子 大小 比较 均匀 剥 开柚 子皮 淡淡的 清香味 营养 价值 很 高 性价比 很 高口感 很 好吃 起来 水分 很多 很 甜 好 东西 不错,5,2021-08-17 17:26:25
非常 满意 次 购物 蜜柚 大 点 伤疤 都 没有 回来 迫不及待 吃 特别 甜 下次 还要 买 他家 非常 满意 五星 好评,5,2021-08-17 17:27:04
老 顾客 买 很多 次 每次 都 很 满意 个头 比较 大 无论是 口感 甜度 都 ok 建议 闭眼 买 会 回购 非常 推荐 皮薄 肉 厚汁 水 挺 特别 新鲜 大人 孩子 都 喜欢 吃 份 量足 价格 实惠 挺 超值,5,2021-08-15 18:57:34
果肉 还 挺 饱满 口 咬 下去 满足 感觉 非常 好 打开 里面 果肉 很多 口感 绵绵 软软 看 特别 食欲 非常 好吃 价格 美丽 楼下 水果 店 便宜 不少 下次 回购,5,2021-08-15 18:59:29
下午 下单 天 上午 送达 非常 方便 快捷 超市 里面 卖 那种 不够 新鲜 个头 比较 大 汁水 比较 口感 相对 比较 好 孕妇 差不多 隔 天 推荐 购买,5,2021-08-15 18:43:34
东西 好 发货 快 皮 薄 水分 充足 家里人 都 特别 爱 吃 吃 完 再 继续 买,5,2021-08-15 18:40:27
吃 起来 口感 很 好 非常 喜欢 味道 想像 中 还 好 大 小 均匀 很 新鲜 水分 足口感 酸酸 主要 价格 比较 实惠 补 维生素 好 水果 还 不错 越 吃 越 想 吃,5,2021-08-31 16:51:19
大大 都 包装 很 新鲜 真 很 好吃 外面 买 大 好吃 很多 箱 很多 都 很 大 分量 很 足 次 吃 剥皮 很 方便,5,2021-08-23 16:22:28
红柚 个头 挺 均匀 很 新鲜 很 大 加 蜂蜜 简直 绝配 味 美 超级 新鲜 大果 很 好吃 红柚 味 浓浓的 喜欢 皮 薄肉厚 很 新鲜 剥 皮 汁 水 没有 坏果,5,2021-08-23 16:22:09
ok 好吃,5,2021-09-27 17:08:39
味道 很 好 女 朋友 很 喜欢 运速 快,5,2021-09-26 20:03:18
物美价廉 非常 好吃 太 香 下次 还要 买 非非非 非常 满意 次 购物,5,2021-09-26 18:18:29
活动 购买 收到 货 觉得 还 不错 发货 速度 很 快 新鲜 水分 充足 不 会 干 涩 老 两 中小果 收货 总体 满意 不错 不错 感谢 活动,5,2021-09-26 17:44:00
宝贝 收到 看 外表 皮蛮 新鲜 果肉 红心 甜度 适中 水份 蛮 点 赞赞,5,2021-09-25 23:04:16
表皮 伤疤 不 影响 口感,5,2021-09-25 20:22:41
柚子 很 好吃 很 甜 价格 便宜 没有 坏 物流 超级 快,5,2021-09-24 18:31:21
蛮 好吃,4,2021-09-24 13:01:55
柚子 个头 很 大 很 新鲜 外皮 没有 一点点 皱褶 水 份 很 大 皮 薄 果肉 饱满 吃 起来 酸酸甜甜 果肉 细腻 汁 特别 爽口 个个 都 很 大 很 饱满 样子,5,2021-08-23 16:04:38
柚子 很 好 很 甜 大赞,5,2021-11-11 14:24:37
很 性价比 值得 购买,5,2021-11-10 13:19:16
水分 很 足 特别 好吃,5,2021-11-02 12:28:30
柚子 很 甜 很 甜 很 甜 很 好吃 物流 很快,5,2021-11-02 11:43:37
个头 不错 味道 很 正,5,2021-11-01 16:57:46
柚子 特别 好吃 水份 好 甜,5,2021-11-01 09:56:52
非常 好吃 希望 下次 优惠,5,2021-10-25 22:38:12
红心柚 甘甜 超级 好吃 吃 完 回购,5,2021-10-25 19:02:40
很 赞 款 商品 很 好吃 柚子 个头 不 大 柚子皮 很 薄 水分 足不酸柚子 算是 经常 吃 水果 很 不错 好吃 继续 回购,5,2023-10-15 16:48:01
物流 很 快 东西 不错 买 他家 东西 物流 很 快 东西 不错 买 他家 东西 物流 很 快 东西 不错 买 他家 东西 物流 很 快 东西 不错 买 他家 东西,5,2023-11-06 17:30:37
非常 好吃 箱 价格 合适 快递 很 快 包装 完好 还 会 回购 活动 很 合适 挺甜 好吃,5,2023-11-05 13:29:18
京东 购物 体验 很 不错 买 plus 会员 平时 日用品生 鲜 孩子 童书 都 买 合适 次 买 不错 质量 挺 好,5,2023-11-04 14:12:26
物流 很 快 非常 不错 牌子 物流 很 快 非常 不错 牌子 物流 很 快 非常 不错 牌子 物流 很 快 非常 不错 牌子,5,2023-10-30 15:31:04
红心柚 子 好吃 品牌 一如既往 好 他家 品质 值得 信赖 全家 都 爱 吃 款 柚子 拨开 果肉 很 红 水份 很 足 柚子 吃 下去 饱腹感 满满点 赞 水果 中 好 品牌 值得 回购 波,5,2023-10-22 14:52:30
柚子 下午 刚刚 剥 很 好 剥 颜色 很 红 很 好吃 汁 甜 配 上 活动 价格 真 超划算 外卖面 部分 水果 店 柚子 品质 好,5,2023-10-21 20:22:18
非常 迅速 拍 下 第三 天 上午 收到 京东 物流 真 没 说 都 乐 包装 非常 好 没有 损坏 味道 还 优惠 会 再次 购买,5,2023-10-11 18:11:00
特别 喜欢 吃 红柚 优惠 活动 马上 购买 柚子 收到 天 物流 对应 快外 包装 完好无损 买 四 装 四 差不多 大 小 开 吃水 份 充足 味道 不错 喜欢 酸甜 朋友 试试,5,2023-11-08 14:26:34
次 购买 物流 还 挺 快 没 送 家门口 去 提 麻烦 柚子 很 新鲜 今年度 最 好 柚子 希望 点 活动,5,2023-11-08 12:34:55
不 吃 两 第一 还 行 白柚子,2,2023-11-09 18:33:31
酸 小,2,2023-11-09 15:58:17
包装 很 好 价格 美丽 口感 汁 甜,5,2023-11-09 13:27:54
挺 好吃 一早 吃 完 没 图 晒,5,2023-11-09 10:28:28
品质 不好 不 实体店 买 肉质 干皮厚,2,2023-11-09 08:09:54
箱 个个 头 均匀 很 新鲜 味道 很 好,5,2023-11-08 21:52:23
说 柚子 看 很 小 很 干 常 吃 柚子 都 体会 炸 开 地方 露 出来 柚子 干 柴 压根 没有 水分 本来 都 乐 家 水果 很 期待 还 家门口 水果 店 普通 柚子 比较 失望,2,2023-11-08 20:19:25
大小 均匀 一致 水果 新鲜 包装 完好 送货 快,5,2023-11-08 17:44:52
都 乐 柚子水 还 很 甜 值得 回购,5,2023-11-08 11:16:01
都 乐 水果 从不 会 人 失望 刚 买 家 梨 家里人 都 喜欢 吃 次 买 柚子 酸甜 可口 超市 买 好吃 还 便宜 到手 没有 坏果,5,2023-11-08 07:20:23
都 乐 蜜柚 甜度 高 酸度 低 水分 足 水果 广 受 消费者 喜爱 果肉 鲜嫩 汁口感 极 佳 无论是 直接 食用 榨汁 都 人们 带来 美妙 味觉 体验 都 乐蜜柚 还 含有 丰富 维生素 矿物质 人体 健康 有益 总体 来说 都 乐 蜜柚 高 品质 水果 无论是 口感 还 营养 价值 都 值得 人们 品尝 推荐,5,2023-11-07 20:30:02
很 水 很 甜 个头 比较 小 再 大 些 好,5,2023-11-07 16:02:36
很 好吃 价廉物美 已经 买 第三 箱 家里 老人 小孩 都 爱,5,2023-11-07 14:08:12
水分 很 足 微甜 不 算 果肉 细腻 无 渣,5,2023-11-07 11:43:17
非常 好吃 品质 很 好 值得 购买,5,2023-11-07 09:30:01
服务 好 值得 购买 下次 还 回来,5,2023-11-06 23:14:46
次 买 远 第一 次 果肉 干汁 水 少 果肉 颜色 第一 次 深,2,2023-11-06 17:53:09
正品 信赖 商家 宝贝 质感 很 好 价格 适中 无限 回购,5,2023-11-06 17:05:06
柚子 很 甜 水分 够 送 时 非常 新鲜 京东 上 买 超市 性价比 高 下次 还 会 再 买,5,2023-11-06 14:46:14
不 京东 自营店 配送 速度 还 好 柚子 品质 很 不错 包装 完好 酸甜酸 甜 柚子 味道 希望 两 装 四 装 吃 一点 时间 导致 柚子肉 都 点 发 干 发 白,5,2023-10-31 00:53:54
买 之前 还 挺 忐忑 怕 不 好吃 收到 后 柚子 头 大 小 正合 心意 皮 薄口感 酸甜 水分 足 点点点 酸 想 红柚 活动 再 回购 嘻嘻,5,2023-10-23 10:51:18
都 乐 水果 从不 会 人 失望 刚 买 家 梨 家里人 都 喜欢 吃 这次 一次性 买 九箱 都 乐 水果 柚子 酸甜 可口 超市 买 好吃 还 便宜 到手 没有 坏果,5,2023-10-13 22:27:29
水分 太 酸,1,2023-10-31 18:47:28
独乐 柚子 很 好 买 水果 经常 买 都 乐 品牌 很 甜 柚子 不 很 大 次 吃 顿 正 正好 迫不及待 买 拆,5,2023-09-24 15:57:00
红心蜜柚 非常 好 很 甜 没有 酸味 苦味 很 好 箱 里面 三 大 小 已经 吃 两 都 很 好吃 完 回购,5,2023-10-02 15:44:31
宝贝 非常 棒 想 那种 风格 货 很 快 谢谢 老板 服务 五颗星 刚好 做 活动 价格 便宜 很多 性价比 超 高 真 特别 划算,5,2023-10-04 16:41:05
相信 都 乐 品质 一次性 下 两 单 送 送 家人 中秋节 快乐 水果 必须 讲求 品质 京东 旗舰店 应该 性价比 超高,5,2023-09-27 22:11:28
买 好几 次 第一 次 品相 失望,3,2023-11-05 15:40:10
都 乐 水果 品质 保证 酸酸甜 甜水 份 很 大 二 次 回购,5,2023-11-05 11:51:59
多次 回购 很 好吃 很 好吃 很 好吃 很 好吃,5,2023-11-05 11:00:50
第一 次 吃 皮 厚 柚子,1,2023-11-04 20:54:11
快递 送达 时间 物流 显示 时间 差距 太 大,5,2023-11-04 20:19:21
款 柚子 不 太 满意 买 盒 四 只 吃 口 还 不错 三 都 干干 不 其他人 评论 甜 比较 失望 或许 买 白肉柚 子 缘故 没有 红心 甜 品质 有损于 都 乐 品牌,3,2023-11-04 20:17:04
产品 性价比 高 入手 价格 合适,5,2023-11-04 17:53:28
产品 性价比 高 入手 价格 合适 产品 性价比 高 入手 价格 合适,5,2023-11-04 17:53:04
实在 差 要命 客服 说 居然 回复 口味 人 异呵呵 笑死 个人 价格 买 品牌 差评,1,2023-11-04 16:51:03
很 好,5,2023-11-04 00:00:51
柚子 还 行 个头 不少 很 大 甜度 四 颗 柚子 颗 白柚子 看 还 行 买 两 箱 可惜 下 单 半 月 才 寄 出来 好评,5,2023-11-03 22:30:47
柚子 很 甜 孩子 很 爱 吃,5,2023-11-03 21:05:14
好吃 次 购买,5,2023-11-03 19:14:47
快递 一如既往 快 京 东 目前 最 喜欢 购物 平台 售 后 物流 基本 有货 话 当天 货 还 送货上门 非常 棒点 赞,5,2023-11-03 18:33:49
柚子 很 好吃 很 新鲜 物流 包装 很 好,5,2023-11-03 16:59:25
柚子 很 好吃 甜 水分 充足,5,2023-11-03 15:07:52
微酸 之前 买 皮 厚 果肉 小,5,2023-11-03 12:44:08
包装 好 柚子 清 甜 汁 会 回购,5,2023-11-03 10:04:14
京东 自营 平台 购买 方便 都 乐 大 品牌 质量 保证 收到 商品 包装 完好无损 柚子 水份 不 很 甜 不 酸 吃 吃 不 知道 福建 柚子 陕西 发货,5,2023-10-08 18:43:09
柚子 酸甜 可口 很 好吃 中秋节 买 奶奶 快递 一点 不 太 令 人 开心 没有 全部 使用 京东 快递 韵达 中通 及时 送 算是 次 满意 购物 体验,5,2023-09-30 22:21:45
一次性 下 两 单 送 家人 送 朋友 好 东西 一起 分享 一下 京东 商城 品质 好 性价比 高 选择 都 乐 应该 错 不 开心,5,2023-09-27 22:12:48
老人 孩子 买 水果 发货 速度 快 质量 挺 好 吃 以后 才 评价 柚子 香甜 宜人 水分 比较 足 颗粒 饱满 没有 那种 苦味 口感 不错 基本 上 卖家 描述 买 很多 次 都 乐 水果 质量 基本上 都 不错,5,2023-09-23 16:50:02
柚子 很 不错 很 好吃 包装 很 好,5,2023-10-30 21:38:22
柚子 很 甜 水分 很 够 不 干柚子 姐妹 冲冲冲,5,2023-10-29 23:16:31
很 好吃 水分 很 足 很 甜,5,2023-10-24 17:08:55
柚子 很 不错 好吃 划算,5,2023-10-31 13:26:52
刚 还 有点 涩放 天 好吃,5,2023-10-31 10:08:26
宝贝 收到 物流 很快 描述 相符 比较 满意 好评 推荐,5,2023-10-31 09:57:45
价格 实惠 质量 杠杠的 非常 好 次 购物 下次 还,5,2023-10-31 09:57:27
味道 很 不错 很 喜欢 吃,5,2023-10-31 05:58:59
买 品牌 水果 保障 市场 买 都 不 好吃 价格 便宜 一点 柚子 个头 不 大 皮薄 肉质 饱满 水分 足不酸肉粒 没有 干枯 情况 不 酸 没有 特别 甜,5,2023-10-30 10:17:36
特别 干 不 很 好,1,2023-10-29 15:32:50
酸酸的,5,2023-10-29 12:06:54
或许 还 不 够 熟 甜度 差 肉质 硬水份 低放 段 时间 看看,3,2023-10-27 20:55:01
物流 很 快 东西 不错 他家 东西 物流 很 快 东西 不错 他家 东西 物流 很 快 东西 不错 他家 东西 物流 很 快 东西 不错 他家 东西,5,2023-10-27 20:33:35
箱 四 商家 四 代 同堂 都 凑 齐 两 大小 红柚 差不多 大 干 水肉 还 泛白 真是,5,2023-10-26 13:55:54
很 牛 商家 反馈 柚子 没 熟 商家 说是 授粉 白柚子 上 说 很 酸 没法 吃 已经 扔掉 商家 说 口感 没法 保证 写 蜜柚 岂 不 欺人 应该 写 可能 酸 可能 甜 反正 体验 很 差 服务 很 差 打开 第一 真 很 不爽,1,2023-10-26 09:13:40
选 快递 公司 非常 奇葩 一起 买 三 件 东西 快递 显示 两 件 先 送达 签收 现场 只 件 电话 问 说 可能 还 路上 没 送 显示 签收 意思 最后 件 更 奇葩 直接 丢失 快递 联系 直接 赔付 索要 拒绝 要求 快递 短信 截图 发 卖家 要求 补 发神 操作 卖家 小时 核实 东西 失踪 状态 快递 直接 已 送达 卖家 说是 已 送达 不再 只能 说 完美 闭环,1,2023-10-25 21:39:18
物超所值 非常 满意 期间 有点 小 插曲 店家 细致 周到 服务 人 很 感动 祝 生意 兴隆 还 会 再,5,2023-10-24 20:19:27
个头 不 大 汁水 很 足 酸甜口 大 柚子 好吃 已 再次 购买,5,2023-10-24 13:01:42
送货 真 快 服务 真 好 柚子 真 干干 干 干 点 水 份 都 没有 凤梨 好 长期 购入 凤梨 甜 汁,5,2023-10-23 22:49:32
送货 真 快 包装 真 高大 上 干干 买 箱 吃 星期 一点 水 都 没有 有点 失望 丢 可惜 吃 干 巴 咽 不 下去,5,2023-10-23 22:47:40
非常 不错 物流 很快 水分 很 充足,5,2023-10-22 20:14:16
都 乐 红心柚 水份 很 足 饱满 甜 中 带 丝酸,5,2023-10-17 22:03:11
四 大小 差不多 收到 吃 特别 好 剥皮 水分,5,2023-10-14 20:17:20
买 父母 都乐 品质 很 多次 购买,5,2023-10-14 09:35:43
很 不错 酸甜甜 很 不错,5,2023-10-13 20:15:08
非常 迅速 当天 拍 下 当天 发货 第三 天 收到 货物 包装 非常 严实 没有 损坏,5,2023-10-08 18:07:15
都 乐 红心柚 子 不错 福建 发货 天 手柚子 很 甜 水份 很 充足 推荐,5,2023-10-06 08:47:19
柚子 非常 清 甜口感 很 好,5,2023-10-05 11:48:11
包装 设计 美观 货物 新鲜 发货 速度 快 顺丰 物流 送 门 包装 完整 无 缺 产品 口感 很 好,5,2023-10-02 00:39:53
特别 难 吃 柚子皮 特别 厚 柚子皮 柚子肉 厚肉 没有 水分 第一 次 网购 差 放 嘴巴 里 闭 眼 都 吃 不 出 柚子 味道 特别 难 吃 不要 买,1,2023-10-21 19:36:22
水果 新鲜 希望 送货上门,5,2023-10-21 08:39:40
复购款 口感 还 不错,5,2023-10-20 21:49:30
口感 不错 复购款 产品,5,2023-10-20 21:41:54
甜度 刚刚 好 没有 坏果 大小 合适 水分 充足,5,2023-10-19 10:36:18
买 好多 次 值得 购买 实用 挺 好,5,2023-10-18 16:46:46
家人 买 听说 还 不错,5,2023-10-17 19:56:16
最 垃圾 快递,1,2023-10-17 13:53:22
质量 非常 好 卖家 描述 完全 一致 非常 满意 真的 很 喜欢 棱 全 超出 期望值 发货 速度 非常 快 包装 非常 仔细 严实 物流 公司 服务 态度 很 好 运送 速度 很快 很 满意 次 购物 店家 很 讲 信誉 很 不错 这家 店 买 东东 很 满意,5,2023-10-16 18:47:45
一如既往 好吃 水分 足足,5,2023-10-16 13:08:54
价格 比较 便宜 发货 速度 很快 包装 很 好,5,2023-10-15 21:11:58
打开 吃 酸甜 适中 水分 不足 点 干 愣愣,5,2023-10-15 09:54:56
大 品牌 值得 信赖 效果 超级 好 贵 贵 道理 很 棒 商品,5,2023-10-14 08:21:52
酸度 比较 大 水分 般 不 推荐,2,2023-10-13 06:46:58
产品 里面 白心 红心 卖 只 同意 补偿 块 不 退款 还 展示 出 所谓 文件 聊天 记录 文件 图片 更换 不 知道 操作 不 声 不 响 没 人 沟通 情况 下 退 钱 不 知道 不 第三方 问题 京东 售 后 之前 处理 速度,5,2023-10-12 21:00:53
很 新鲜 口感 不错 发货 快,5,2023-09-26 12:31:27
柚子 水分 足 甜度 高 很 赞,5,2023-01-01 18:37:35
太 棒 果品 质量 真 没 说 果断 加购 两 箱 薄皮 大肉 馅哈 没有 硬心 瓣 柚子 都 新鲜 美味 物流 发 顺丰 京东 好 毕竟 很 重 生鲜 很 好 很 好 很 好 继续 买,5,2022-10-12 11:00:12
品质 非常 好 家 包装 完好 柚子 口味 酸甜 适中 汁水 饱满 不 苦 涩 值得 购买,5,2023-11-06 12:36:50
份量 很 足 很 信任 都 乐 品质,5,2023-11-05 20:04:06
回购 次 很 不错 继续 回购,5,2023-11-05 18:09:52
柚子 很 好吃 物流 速度 很 快,5,2023-10-10 22:53:27
柚子 水份 挺 大 酸酸甜甜,5,2023-10-10 21:15:07
这种 品行 柚子 求 买 甜嫩 好 剥皮 还 薄,5,2023-10-10 19:27:58
包装 完好 物流 速度 不错 试试 看,5,2023-10-10 18:45:11
很 好吃 十一 期间 收到 货 吃 水分 挺 足,5,2023-10-10 13:08:32
果肉 特别 值得 下 单水 份 足 味道 不错 果肉 饱满 很 新鲜 水分 足足 强跟 水果 店 里 口感 水果 店 里 便宜 嘴唇 口味 正 收到 货 想象 中 好 转圈 特别 新鲜 规格 重量 分量 很 足 口感 味道 美滋滋 回购 n 次,5,2023-10-10 10:36:19
个头 点 小 味道 很 好 酸酸甜甜的 好 扒 很 酸 不 硬,5,2023-10-09 18:44:24
柚子酸 不 甜 水份 不 充足,3,2023-10-07 13:43:10
皮厚 味道 不 酸 不 甜,3,2023-10-05 16:46:04
柚子 很 好吃 水份 特别 收到 货 后 总体 不错 包装 严实 客服 服务 态度 很 好 问 必 答 点赞 发货 很快 物流 速度 很 快 非常 满意 次 购物 希望 下次 再 多多 优惠,5,2023-10-04 15:19:10
刚好 做 活动 价格 便宜 很多 性价比 超 高 真 特别 划算,5,2023-10-04 10:38:28
不怎么 好吃 没有 太 汁 水 都 还 好,5,2023-10-02 19:22:12
很 甜 很 好吃 很 水 价格 略 高,5,2023-11-01 20:58:31
味道 不错 很 好 剥皮 推荐 购买,5,2023-10-21 22:16:18
堆 乱七八糟 买 珍惜,1,2023-09-24 20:28:03
非常 好吃 发货 快 京东 快递 一如既往 好,5,2023-09-21 17:54:43
般 味道 不 好 很 干 没有 水分 还 很 酸,3,2023-02-10 20:19:59
非常 好 很 好 值得 买,5,2023-02-01 10:53:10
买 两 次 水 很多,5,2023-01-31 18:25:34
质量 很 好 口感 客服 热情,5,2023-01-19 18:34:19
都 很 喜欢 吃 柚子 都 乐 水果 最 好 选择,5,2023-01-11 20:08:43
收到 以后 没有 评价 已经 吃 三 已经 最后 柚子皮 很 薄 可能 半 厘米 厚 整体 口味 来说 有点 偏 酸 接受 话 吃,5,2023-01-02 19:54:36
次 购买 吃 水果 助 健康,5,2022-12-24 18:58:16
不 建议 买 很 小,1,2022-12-23 19:00:41
辣鸡 卖家,1,2022-12-16 15:21:39
发货 速度 快 质量 挺 好 卖家 描述 非常 满意 吃 完 才 评论 次 买 柚子 非常 香甜 水分 比较 足 柚子 香气 宜人 整体 来说 都 乐 水果 品质 很 ok,5,2022-12-06 23:23:11
京东 值得 信赖 东西 很 好好值,5,2022-12-03 18:55:54
都 乐 大 品牌 水果 柚子 买 第一 次 买 比较 新鲜 味道 酸酸甜甜 大小 偏 小 期待 会 更 好,5,2022-11-27 19:14:43
经常 购买 牌子 邮寄 过来 挺 新鲜,5,2022-11-23 05:54:52
次 购买 质量 很 好 很 好吃,5,2023-10-12 14:33:06
非常 好 非常 新鲜 下次 还 会,5,2023-09-27 21:43:03
物流 超级 快 质量 非常 不错 价格 超级 便宜 家里人 都 喜欢 吃 都 说 好吃 非常 不错 希望 下次 再 搞 活动 下次 再 买 赞 不错 值得 购买,5,2023-10-23 18:41:06
快递 送货 很快 送货 家 包装 完好 柚子 大小 共 七 枚 完好无损 无 坏果 打开 尝尝 味道 不错 汁水 丰富 好吃 不 贵 十分 满意,5,2023-10-17 08:02:41
葡萄柚 还 不 很 甜 不 酸 水分 挺足 大小 还 最后 放 好 长 时间 忘 吃 坏 掉 可惜,5,2023-10-30 08:59:05
葡萄柚 已 收到 包装 很 好 店家 发货 很快 物流 很快 葡萄柚 质量 很 好 水汁 很多 酸甜 可口 皮 薄汁 值得 信赖 购买,5,2023-11-07 17:39:46
蜜柚 早巳 收到 忘记 晒 单 三 只 蜜柚 吃 二 才 想 起来 晒 单 和平 琯溪 红心柚 子 红肉蜜柚 有名 品牌 皮薄 肉 厚籽 少 吃 起来 水 份 足 甜度 适中 很 喜欢 京东 搞活 动物 廉价 美 很 合算 下次 还要 购买,5,2023-11-08 21:35:50
葡萄柚 很 好吃 一共 收到 每个 都 套 保护膜 个头 特别 大 皮 稍微 点 厚 剥 开 尝 水分 很 足口感 纯 甜 味道 不错 榨汁 吃 店家 还 赠送 酸梅粉,5,2023-11-06 11:39:56
柚子 已 收到 包装 完好无损 柚子 质量 很 好 大 小 均匀 皮 薄肉厚 味道 不错 大人 小孩 都 爱 吃 吃 完 还 会 继续 回购 谢谢 快递 小哥,5,2023-11-06 10:56:53
quot 爆汁 葡萄柚 吃 最 好吃 水果 口感 清新 口 都 充满 果汁 感到 非常 满足 非常 健康 富含 维生素 c 营养 物质 保持 健康 生活 部分 quot 非常 喜欢 爆汁 葡萄柚 味道 口感 非常 新鲜 甜美 口 都 感到 愉悦 非常 方便 食用 忙碌 生活 中 轻松 享受 水果 美味,5,2023-11-02 21:55:05
葡萄柚 柚子 好吃 肉 汁 水 皮 还 薄 直接 手 拨开 想 剥 橘子 头 很 大 果肉 很 甜 季节 吃 葡萄柚 很 好吃,5,2023-10-30 14:07:26
宝贝 收到 实物 真 好看 价格 非常 实惠 强烈 推荐 款 超级 喜欢 口感 没 说 苦 中 带 甜 那种 感觉 水份 还 很 足 买 九 斤 次 吃 够,5,2023-10-29 13:12:41
不 甜死 苦难 吃 死 买 都 丢,5,2023-11-09 18:01:55
次 购买 苦 涩 第一 次 买 味道 还 才 买 次 看来 老 买主 不 友好,2,2023-11-09 16:00:11
太 酸 开 两 一点 不 甜 水分 倒是 挺 实在 酸 倒牙 吃 不 下,5,2023-11-09 12:42:34
水分 充足 不 酸 喜欢 值得 购买,5,2023-11-09 10:46:58
堆 垃圾 客服 服务 极 差,5,2023-11-08 21:24:45
星 都 不 苦 还 不 售 后 没 见 斤 大 葡萄柚 怪 贪便宜 真是 没 好 货 客服 没 直接 丢 垃圾桶,1,2023-11-08 20:52:15
柚子 新鲜 皮薄籽 少 满满的 汁水 不 很 甜,5,2023-11-08 20:19:29
非常 差 个个 都 疤痕 沉疤 烂疤 一个个 洞 眼 不 知道 东西 戳破,1,2023-11-08 19:26:05
所谓 精选 无语 品质 太 差,5,2023-11-08 18:57:36
水果 还 挺 新鲜 水分,5,2023-11-08 16:23:59
特别 差 虚假 宣传说 纯甜 不 酸 实际 酸 苦 客服 反馈 放 段 时间 放 没 多久 坏 说 榨汁 喝 现在 售 后 时间 不 处理 真 太,1,2023-11-08 13:14:31
谢谢 快递 师傅 辛苦,5,2023-11-08 09:28:23
水分 很 足 好吃,4,2023-11-08 06:46:19
柚子 味道 不错,5,2023-11-07 22:54:19
口味 一言难尽 应该 采摘 很 久 去年 存货 不 怪 商家 价钱 摆 侥幸,2,2023-11-07 22:37:18
汁水 充足 酸甜 可口 很 满意,5,2023-11-07 16:57:00
一点 不 甜 不 苦 没 味儿 不 推荐,5,2023-11-07 14:29:23
柚子 收到 物流 慢 葡萄柚 品像 还 行 味道 吃 追评,5,2023-11-07 09:56:25
非常 好吃 水份 非常 足不酸 没有 一点 酸味 很 甜皮 非常 薄 剥 橘子 剥 开 很 不错 快递 很快 南方 北京 三四 天 时间,5,2023-10-26 23:59:48
个头 都 还 差不多 左右 大小 均匀 酸 甜 可口 甜 大于 酸汁水 非常 非常 非常 外皮 很 薄 物流 配送 很 快 蛮 好吃,5,2023-10-11 14:31:25
价格 超级 优惠物 流 超级 快 质量 非常 不错 买 好 多次 家里人 都 喜欢 吃 希望 下次 再 搞 活动 下次 再 买 赞 实体店 便宜 很多,5,2023-10-28 17:44:28
价格 超级 优惠物 流 超级 快 质量 非常 不错 买 好多 次 非常 好吃 家里人 都 喜欢 吃 实体店 便宜 很多 希望 下次 再 搞 活动 下次 再,5,2023-10-31 19:03:29
次 这家 店 购买 葡萄柚 上次 好 次 水分 很 足 味道 更 甜 皮 薄 肉 次 购买 真的 很 满意 卖家 发货 速度 很快 物流 很快 总体 来说 还 不错 好评,4,2023-10-18 17:09:10
收到 时 快递 箱子 都 压 瘪 还 好 打开 没 问题 看来 柚子 皮厚 韧性 耐压 份 量足 打开 水分 挺 大 味道 还 准备 放 天 再 吃,5,2023-11-05 00:08:23
果 不 新鲜 产品 不好,1,2023-11-03 18:04:24
分量 足 水分 个子 比较 大 不 很 均 匀口感 很 好 甜 甜 吃 完 后 一点点 苦味 真正 红柚 味道 很 不错 福建 源头 产地 发货 比较 靠谱,5,2023-10-26 15:04:35
第一 次 京东 买 水果 同一天 两 家 店铺 分别 下 单 买 斤 葡萄柚 两 都 同一 地点 发货 发货 人 都 好巧 商品 质量 都 很 好 发货 箱 斤 觉得 很 好 价格 卖 便宜 九斤 大约 皮 很 薄 很 薄清 甜汁 水足 发货 很快 孩子 很 喜欢 吃 很 满意,5,2023-09-24 19:57:54
过去 买 大 柚子 酸酸甜甜 吃 这种 黄金柚 便 一下子 爱上 一口儿 个儿 不 算 大 皮薄 肉 厚汁 水 真 太 好吃,5,2023-09-22 19:56:48
收到 六 个头 不 小 很 新鲜,5,2023-11-06 10:20:03
非常 难 吃 干 苦 一言难尽,1,2023-11-06 08:46:34
烂果 下 单 货 大概 天 不 烂 才 怪 已经 烂透 没 来得及拍,1,2023-11-05 23:40:47
葡萄柚 已经 收到 物流 有点 慢 包装 葡萄柚 蛮 大 不 知道 口感 期待,5,2023-11-05 22:24:31
汁水 口感 甜,5,2023-11-05 19:20:00
第一 次 京东 购物 差评 明显 坏果 还 发给 购买 人 商家,5,2023-11-05 14:43:01
