分词,评分,评论时间
柚子非常好个头也很大，然后买了四个其实个头还蛮均匀的里面红心的水果就是水分很足，然后维生素很丰富，挺好的，以后还会再买，因为京东这个水果一个是来得快，另外一个人也很新鲜来的时候都是冷链运输的,5,2023-10-01 12:23:35
习惯了给好评，现在其实还没有到季节吃柚子，起码要等到八月十五才是吃柚子的最佳日期，梅州的柚子才是最好吃的，柚子是最好吃的！,5,2023-08-31 09:29:49
买了两个这是第二个，所以放的有点皱皮了，但是里面果肉还是水分很多的，我觉得性价比很高，两个果汁都是大大的，然后物流也很快，口感也不错，之前一直在他家购买，品质一直一如既往的好，值得购买。,5,2023-08-26 19:37:23
火龙果真的无限次回购了，很新鲜，真的很甜，孩子大人都爱吃，价格也是不稳定，每次买的价格都不一样，希望商家改进一下，哈哈哈哈,5,2023-09-18 16:24:50
物流很快，包装完好，没有磕碰，红心大柚子，非常甜，也很容易去皮，大人孩子都跟很喜欢，分量足，水分也饱满，非常好的水果，值得购买,5,2023-10-05 16:30:28
味道很好，符合男女老少的口味，吃起来可口，水分也比较多，不是很软的，也不是很酸的，总体来说非常的满意，期待下次再来买几个送人！,5,2023-09-19 20:24:26
经常在京东自营购买东西，主要是快递这方面特别方便，另外，京东自营的产品质量也有保障，收货退货比较方便，办了会员，现在已经是无限次包邮了，十分满意,5,2023-09-16 21:03:57
第一次在京东买柚子，抱着试试看的态度买回来还行，很不错的，一次买了两个，还没开开吃，等吃了在看好不好，次日达水果还是很有必要的物流快,5,2023-09-14 23:12:40
一次很好的购物体验，服务周到，物流快速，配送也很周到，态度也很好，物有所值啊，果断好评！宝贝收到了，很惊喜，质量非常好，很满意的一次购物。我会继续回购的，店家值得信赖宝贝和介绍的一样，质感很好，功能强大，用了感觉不错品质一级棒，包装也不错，物流很快，而且价格合理，很实惠，很喜欢,5,2023-10-04 18:54:59
这个红柚是一大一小的，秤了一下，重量刚好的。从速度来说，运输的不算太快，但是正好周末可以吃到了。从味道来说，小柚子的味道比大柚子好吃，大柚子有点涩口。总体来说，还是挺不错的。,5,2023-09-29 14:03:20
红心柚子，之前在超市买过，这次专门在网上，京东自营，还不错，现在正是季节，买了两份。感觉还不错，就会多次来购买，赞一个。值得推荐。,5,2023-10-03 21:18:54
秋天是美好的季节各种水果都已经上市了甜美的柚子是其中之一酸酸甜甜的，特别爽口营养也特别丰富好吃不贵，真的很好。,5,2023-10-08 11:30:44
购物首先京东，品种齐全，吃穿用一站够齐，省时省力又省心，服务好质量还有保障，而且发货速度超快，基本晚上点前下的单隔天就到了，包装完好无损，水果新鲜，足斤足两，一个大一点一个稍小一点，都符合单果斤，这个季节正是吃柚子的时候，柚子有丰富的维c及大量营养素，理气化痰、润肺清肠，柚子浑身都是宝，柚子皮可以做柚子茶，当中的软瓤可以做柚子糖，总之多吃各种水果好处多多。,5,2023-10-05 16:31:05
精选福建琯溪红肉蜜柚粒装单果重。非常的好吃。酸酸甜甜的非常的开胃。补充维生素c是一流的。果肉也非常的纯正。非常的值得购买的一款水果。越吃越想吃。大品牌吃的放心，吃的安心，会继续购买的。在京东购物省时省力省心。售后有保障。发货速度快，快递送货及时到位，态度好会继续购买买其他产品。支持京东。愿京东越办越好。,5,2023-09-30 20:10:40
买给爸爸妈妈的，妈妈爸爸说好吃，水也多，个头大，甜。还会再买，推荐给大家。京东的生鲜品质不错，每次都买很好。皮薄好拨，个头均匀。,5,2023-09-29 17:24:33
还不错在京东买过n回水果了真的很新鲜没有买到过坏果每次买的都都很放心配送也快价格也挺划算送人自己家吃都很好,5,2023-09-26 18:18:36
一直信赖京东，一直都在京东上购物质量有保障买着放心！京东物流也是超赞，昨晚下单今天上午收到。特别表扬一下快递师傅，全部货物都是他一个人送到的，服务非常好，辛苦了谢谢！京东生鲜品质还是很好的，买了几种水果都很新鲜,5,2023-09-26 11:44:43
前两天买了一箱送朋友，反馈说品质很好，酸甜适中，可口，水分足，我就赶紧下回一单，留给自己吃，个头不是很大，一箱只，这个价格很划算,5,2023-09-25 12:33:32
家里几乎所有的水果都是京东买的，一站式购物买齐了，放冰箱里面可以吃好久，也很方便，重要是这水果太重，直接送货到家门口就很方便,5,2023-09-24 09:46:50
蜜柚刚刚收到还没来得及品尝、晚上打果汁加蜂蜜孩子回来一起吃包装很好、看上去很新鲜、配送服务及时希望蜜柚好吃晚餐见吃好了下次再来光顾、谢谢快递配送,5,2023-09-21 15:23:30
最近太忙了，确认晚了，东西是很好的，呵呵，谢了。物流公司的态度比较差建议换一家！不过掌柜人还不错！呵，货真不错，老婆很喜欢！很好的卖家，谢谢喽。,5,2023-09-21 07:26:53
柚子真的大，物流也很快，这是我买过最好吃的柚子，而且还是在京东买的，里面的果肉很饱满，个头也超级大，味道酸甜可口，真是大人小孩都喜欢吃，下次还会继续光顾的,5,2023-09-20 19:48:00
又是一年柚子成熟的季节，去年买过很多次，依然是那么好吃，这个味道超棒，柚子的香，甜味适中，皮薄汁多，果肉很厚实，送货上门非常满意。,5,2023-10-08 14:56:17
京东让生活更便捷，下了班不用跑超市排长龙买单你，尤其上班族足不出门就能在家各种购物，重点是物流超快还送货上门，这点就辛苦配送员了。,5,2023-10-08 10:10:05
这柚子真的太好了，开出来的果肉很多，水份也大，肉还好吃，个个都很饱满放了好几天了。还是这么新鲜，京东上买的太给力了，下次还会继续光顾的，,5,2023-10-08 05:10:52
这个柚子非常好吃，柚子味儿特浓，比较甜，价格也不贵，尤其是昨天买的时候有优惠券，非常便宜，直接就买了盒，一盒里面是个装的,5,2023-10-07 19:40:53
包装的很精美！粒装的质量和品质非常不错！之前在这家店也买过其他东西，感觉不错，这次又来啦。收到快递后迫不及待的拆了包装。粒装我真的是非常喜欢真是一次难忘的购物，这辈子没见过这么好用的东西！！这家的粒装的真是太好用了，用了第一次就还想再用一次。真是一次愉快的购物！,5,2023-10-07 13:30:49
快递超快，第二天就收到了，京东自营快递没得说，包装完好没有破损，味道也还可以，是红心的，没啥毛病，习惯直接好评，以后还会买,5,2023-10-07 10:15:11
很好吃哦，没想到福建柚子也这么好吃，比赣州脐橙还好吃一点，酸甜适中，微酸。本来还很担心东西不好，拿到手发现完全多虑了，五星好评,5,2023-10-06 22:23:31
收到货挺新鲜的，喜欢间西柚的一股淡淡的清香，水果的滋味～一开始担心价格便宜买不到好货，快递到的很及时，包装没有任何破损，果子每一个都个头均匀，色泽鲜亮！,5,2023-10-06 19:59:16
买了柚子，哈密瓜，火龙果，到货很快，第二天就到货啦，快递包装严实，快递小哥送货上门、非常贴心，水果也没有坏的，水果很新鲜。,5,2023-10-06 19:42:36
包装完好无损伤，京东自营生鲜超市顶呱呱果实很大很饱满，非常甜哦。物流给力，价格实惠比超市买还要划算很多呢。非常愉快的一次购物,5,2023-10-06 01:20:51
谢谢老板！味道也还是不错滴，个头大小均匀，果然细腻。又到了一年一度吃柚子的季节，每年都会囤一些慢慢吃，柚子以福建红心柚最佳，淡淡的清香入口丝丝的甜，营养丰富，又不上火，入秋的最佳选择！配件齐全，包装严莲，完好无损，值了。好吃，皮有点厚，水分多，酸甜的味道，越吃越好吃，看着就特别有食欲，一口咬下去满满的汁水，香味特别浓郁，很不错。很饱满，一口下去，水分很多，水分多多！,5,2023-10-05 18:32:41
两个柚子都完好，送了一个开柚子的工具，很贴心，水分很足，非常甜。在京东买水果一般是可以放心的。一次很好的购物体验，期待回购。,5,2023-10-05 13:02:37
是红心柚子，柚子很好剥，甜度挺高的，酸酸甜甜的很好吃。一口气就吃了半个柚子，停不下来的赶脚，越吃越想吃。有活动还会回购的。,5,2023-10-03 22:55:12
家里水果都是在京东买的，柚子特别好吃，个头也大，吃起来挺好吃的，特别新鲜，而且柚子比较耐放，多买些放着吃也可以的，特别好,5,2023-10-03 10:36:26
物流非常快，包装也完好无损，水果也没有磕磕碰碰。这个红心柚子很新鲜，个头也比较大，酸酸甜甜的，水分也特别多，家人也爱吃。,5,2023-10-02 21:06:02
一次很好的购物体验，服务周到，物流快速，配送也很周到，态度也很好，好评！很满意，，物流快，客服很棒，点赞真的很好用，对商品非常满意，属于无限回购款，推荐！,5,2023-10-02 13:27:50
这是一段好评，花钱买了再来评价，麻烦你们认真点！先说商品质量：产品总体不错，包装严实。再说商家服务：点赞啦。最后点评快递：发货很快。其他就是感谢店家打折送券活动，毕竟便宜好货更实在。希望店家多多优惠，及时通知老客户，促成回购。祝生意兴隆京东速度很好,5,2023-10-02 11:58:13
bullbull价格超优惠，性能也非常棒，完美的一次购物物超所值，话不多说，这四个字已经说明了一切整体来说还是很不错的，店家服务态度很好，而且质量也很好，没有异味赶上做活动的时候买的，这个价格一分钱一分货，从外观看很美，材质做工都不错，感觉买值了，还有物流超级快，点赞！,5,2023-10-02 11:01:05
个头儿不是很大，甜不甜还没吃，皮是薄的，感觉这个价格说不上优惠不优惠，吃完了再追评，京东的服务还是很给力的！快递速度也很快！,5,2023-10-01 19:14:43
好吃好吃的！不酸，清新，微甜，水分可以。物流运输很快没有破损还给送货上门。超出预期效果的好吃。整体性价比高的。好评好评好评好评！,5,2023-10-01 15:55:05
心仪已久，价格实惠，味道也不错，快递也很给力，果然名副其实，包装很好，颜值不错，质量也没有问题，这个产品和它价位相比来说，还是很合适的,5,2023-10-01 12:01:22
整体来说还是很不错的，店家服务态度很好，而且品质也很好，没有坏掉破损的，柚子也很甜，包装也很好，总体来说没有问题。五星好评,5,2023-09-30 20:57:45
号下单，号就配送下单！物流nb！！箱柚子份量足，表皮光滑，闻着很好吃的剥开皮薄肉多，皮也很轻松就剥开了，吃起来很甜红色纯正甜度刚刚好，没有渣而且水分超级多，红心的吃起来口感不错,5,2023-09-30 20:53:40
柚子不错，很大，而且水份多，好吃，一点都不酸，很喜欢，一下子买了八个，国庆可以尽情吃了，物流还不错，第二天就送到了呢，感谢,5,2023-09-30 17:55:07
好吃，大个，非常不错，很好吃，很甜，脆，虽然等好几天，虽然要催来催去，虽然催也没起什么作用，但是，还是没起作用，水果的品质挺不错的。,5,2023-09-30 17:13:45
很好吃，外观看着比较一般，收货适合自己吃，不要送人还是很甜的。中秋国庆双节快乐！！！！！！！！！！！感谢快递小哥。。。。,5,2023-09-30 16:12:39
第一次去女朋友家，给她妈妈和奶奶买的，很喜欢吃，味道真的好，非常好和实体店看的一样质量好相信京东，非常好和实体店看的一样。,5,2023-09-30 15:35:10
京东物流速度很快，当天下单，第二天上午就送到了，送货上门了。包装严实。这款柚子品质不错，价格比较实惠，适合在秋天时节品尝。,5,2023-09-30 10:09:17
发货速度非常快，第二天就到货。柚子每个大小都差不多，水份足也够甜。之前买了第三方的，和自营店差的十万八千。拿下一下干掉一个,5,2023-09-29 22:55:28
京东自营旗舰店的物流速度一如继往的给力呀！第一天下单，第二天上午就送货上门啦！柚子单独又装箱快递，包装完好无损！果子很厚实，味道还不错！整体不错！,5,2023-09-29 21:44:33
货收到了，很不错，价格比较实惠，味道好极了物美价廉。昨天晚上下单的单，一大早就送来了，物流速度相当牛，京东快递就是快，总之这是一次愉快的购物！下次还来光顾！,5,2023-09-29 21:00:32
东西挺好的，快递很快，第二天就到了，买过好几次了已经，挺不错的，要是优惠再大点就好了，多来几个优惠券啥的。总之还是不错的,5,2023-09-29 20:53:31
不愧是京东生鲜大牌子店，柚子的质量是非常好的，是正品，生产日期也是非常新的，非常的香甜，非常的好吃，送人包装也很好看的，很不错的，价格又便宜又实惠，京东快递就是快啊，中间就隔了一天就收到了，非常的不错哇,5,2023-09-29 19:55:51
真的真的很大，水分也很多，买了好多家第一次遇到品质这么好的，拿到就吃了，第二个放了几天刚刚好，第一个吃的早微酸，但是本人喜欢吃酸的，推荐,5,2023-09-29 18:57:21
还不错，物流配送很快，品质很好，柚子的个头很大，很实，破开后，果味很纯正，吃起来口感非常不错，买四个性价比也很高，非常满意,5,2023-09-29 12:57:06
柚子特别大，打开吃了一个。中秋节买上两个放在家里，寓意特别好，一个就有好几斤。孩子们特别喜欢吃，红心红壤，黄皮，皮也不厚。,5,2023-09-29 08:44:19
很足红红的色泽很诱人大小均匀，柚子皮薄。拨开果肉多而且特别饱满。粒粒分明颜色也特别好看，打开的时候有果香，吃起来很好吃，很饱满，皮也很薄，一口下去，水分很多，还特别甜，很好吃，咬一口，味道酸酸甜甜的，口感极好，非常棒。比店里买的省多了喜欢柚子的朋友可以购买。超级喜欢呢。,5,2023-09-28 21:38:53
京鲜生的水果真不错啊。一直在京东上买水果，质量特别有保证，尤其是京东自营的东西，卖相和味道都很好，物流也很给力，特别快，赞！,5,2023-09-28 18:28:51
很好吃，非常的新鲜，比较好，快递也比较快，京东自营也很快，买了好几次了，挺好，吃完以后还来买，京东超市就是好，个头也不错,5,2023-09-28 12:19:04
柚子很不错，水分足，口感接近纯甜了，吃柚子的季节到了。一共四个柚子活动吗买的很划算，家人都喜欢吃，剥起来也不费力，吃完再来回购！,5,2023-09-27 16:03:24
味道也还是不错滴，个头大小均匀，果然细腻。香气浓郁，口感香甜清爽，水分十足。看图片就知道了。一个个大的非常均匀，皮薄肉厚营养价值是非常高的。每个都是独立格子包装，外表无碰损,5,2023-09-27 14:50:22
这款京鲜生精选红肉蜜柚，非常好！我已经买过次了，每次都是买箱！这是红心柚子，肉质甜美，一箱粒装，单果斤，够大够新鲜！请继续保持这种品质，以后吃完了还会考虑再买！,5,2023-09-27 12:56:17
现在正好是吃柚子的季节，批量购买，性价比非常的高。用来送礼最好了。比水果店里的便宜不要太多。一般都在京东买水果，一次性可以吃很久。,5,2023-09-26 16:16:49
东西收到了，价格便宜，物流速度快，包装完好，没有坏果，柚子个头大，味道很好，非常满意的一次购物，还会继续回购的，满意，好评！,5,2023-09-26 12:35:31
非常好，过节的时候一下子买了三箱，觉得挺好，优惠很多，觉得挺不错的，京东自营快递也比较快，第二天就到了，包装也不影响，吃完还来买！,5,2023-09-26 07:17:22
性价比相对是比较高的，而且非常的nice，质量非常好，跟图片上的一样，满意，这个价格很实惠啊！质量一点都不含糊。一直想买，终于在搞活动的时候入手了，没有让我失望，宝贝收到了，质量也不错，很喜欢。,5,2023-09-25 22:19:10
京东的商品非常不错，价格经常搞活动进行优惠，快递也是非常迅捷，自提，送上门都可以。商品包装也是令人满意的，从来没有破损的现象发生。在这个非常时期，京东还是一如既往的提供便捷服务，真不简单，继续加油京东。,5,2023-09-25 19:36:31
京鲜生精选福建琯溪红肉蜜柚粒装单果重斤生鲜水果最近一直在京鲜生这买水果，水果很新鲜又好吃。会继续回购的,5,2023-09-25 16:58:09
又到中秋节，必备吃柚子的季节～京东买的柚子惊艳到了，今年活动价买又便宜又新鲜，味道甜甜地，家里人都好爱吃，买了几个一起分享快递包装很到位，完整收到水果，也有破烂，没有烂过，很满意这次的柚子，打算再买回购,5,2023-09-25 13:50:07
柚子不小，果皮比较薄，柚子味道酸甜可口，水分充足，味道很不错，价格也很公道，自营产品，还是很有保障，所以比较放心就买了，满意。,5,2023-09-25 12:32:31
红心蜜柚，肉质紧实，饱满，水份足，口感甜，很新鲜，已经多次回购了，京东商城满减活动价格优惠，物流速度也越来越快，第二天早上就收到了，,5,2023-09-25 12:19:47
在京东超市买水果还是很不错的，首先价格比较合适，有活动的时候也更优惠，其次也比较新鲜，口感不错，最后就是到货的速度了，基本都是隔天到，就算有问题，联系客服都是及时解决，很好！继续保持！,5,2023-09-24 23:28:27
收到蜜柚就开了一个，蛮新鲜的，肉质鲜嫩，果汁水分充足，京东物流也很快，包装一点没有损坏，一下子买了份，更划算，下次再来，,5,2023-09-24 18:37:10
很快收到了，包装完好。这款蜜柚分量足水多品质好吃起来根本停不下来。强烈推荐这款蜜柚。卖家发货快快递给力满分好评强烈推荐满分好评,5,2023-09-24 09:30:37
京东生鲜水果自营好样的，品质过硬，新鲜度高，整体非常满意，以后需要了还会继续支持，希望调货时间可以尽量缩短，不用等很久。,5,2023-09-24 00:46:07
马上中秋了也到了柚子成熟的季节，京东刚好后活动果断买了箱十六个，全给家里寄过去了，性价比超高，也很甜。家里老人小孩都喜欢。,5,2023-09-23 20:51:05
准备中秋节送礼用的水果，京东物流送货快，水果保存完好，没有受损，柚子容易保存，不易坏，营养价值也很高，味道也不错，很满意,5,2023-09-23 17:24:22
包装严实水果新鲜日常补充维生素京东物流很快买东西很方便柚子一大一小挺甜的红心柚子还不错越来越习惯京东买东西,5,2023-09-23 16:42:23
马上双节了，京东有活动看着这琯溪红柚不错，买了件，京东物流没得说，有货了发货很及时第二天就到了，包装也很好，剥开一个水分还不错，皮也不厚！,5,2023-09-23 15:43:44
好吃，酸甜适中，有水份，一箱只，这个价格买到很划算，比超市买的好太多了，物流速度超快，下单第二天就收到货，快吃完了马上再下一单,5,2023-09-23 14:32:06
京东的水果搞活动是真的便宜啊，买了四个柚子，还有一些石榴，这个柚子水分还是很足的，挺好吃的，反正我吃过很多柚子也觉得这个不错,5,2023-09-23 08:43:46
这款红心蜜柚个头很大，皮薄肉多，汁水丰盈，果肉非常好吃，品质非常棒！京东自营水果，送货速度快，没有坏果。还会继续回购的！！！！！！！！,5,2023-09-22 19:20:20
宝贝收到了，很惊喜，质量非常好，很满意的一次购物。水分不是很足，甜但倒是挺甜的，口感还不错。我会继续回购的，店家值得信赖。,5,2023-09-22 13:27:08
第二次购买了京东买水果很新鲜物流也快，吃得也开心还会再购的，中秋佳节送礼也可以支持支持支持,5,2023-09-21 21:49:31
买了个柚子，个头挺大，，价格也不贵，比超市里价格便宜，京东物流很快，天就收到了，等回家切开吃了再来评价，先给好评吧。,5,2023-09-21 14:02:19
京东生鲜买过好多次东西了，靠谱没毛病，赶上活动的时候买很合适。。西瓜和柚子都挺好的，新鲜，味道也不错，家人很满意。下次还买,5,2023-09-21 09:46:19
开始买了六个，两个人分。在单位大家尝到都好吃，马上要追加八个。块钱两个，不等吧。一个柚子大概两斤半到三斤的样子，红心的。一点没有苦味。甜甜的很好吃。,5,2023-09-20 21:59:22
收到啦，很不错，非常喜欢，值得购买，嘻嘻不得不赞，质量真的好，包装物流也不错。真心喜欢，入手后不会让你后悔的！一次很好的购物体验，服务周到，物流快速，配送也很周到，态度也很好，物有所值啊，果断好评！,5,2023-09-20 17:00:27
马上中秋了也到了柚子成熟的季节，京东刚好后活动果断买了箱十六个，全给家里寄过去了，性价比超高，也很甜。家里老人小孩都喜欢,5,2023-09-20 11:34:24
孩子想吃柚子了，就试着买了俩，很新鲜，个头比较大，送货速度快，次日到达或者可以预约后两天送到。马上中秋了，天气凉了，能放几天，相信口感好，吃起来爽。,5,2023-09-19 21:32:54
经常在京东上购买特别方便上午下单下午就能收到很喜欢省去了去超市的来回时间也免去了搬运的重活特别好还会再来的哈哈,5,2023-09-18 15:25:43
给家里老人买的，说是很酸，老人很不喜欢，喜欢甜的就别买了,3,2023-10-23 07:54:32
柚子还不错的，秋冬刚上市的小季节，小甜小酸，一个星期已经吃到第三个了，性价比很高的产品了，应季水果，推荐购买，京东你值得拥有,5,2023-09-17 20:19:24
柚子看着非常不错！下午露营的时候带去吃的，应该蛮甜的！京东水果品质还是很不错的，家里人都喜欢到京东买！以后继续回购！希望越做越好,5,2023-09-17 11:21:41
这个真的太了，包装很精美，宝贝做工比较精细，商家特别好，有问题都及时处理，确实是一次相当满意的网购，还会再来的非常满意，材质做工非常好，而且百搭，手感也很棒，非常nice，实用性非常强，赞,5,2023-09-16 12:48:30
柚子个头很大，味道还不错，甜带点酸，分量还是很足的。京东的物流还是很快的，前一天晚上下单，第二天一早就到了，购物体验很好。,5,2023-09-16 10:35:22
柚子很新鲜，翠绿翠绿，肉是偏脆偏爽口的，不酸不甜，多汁，最主要是新鲜，现在买放到中秋应该会更甜，包装来了也没有损坏，推荐！,5,2023-09-16 09:08:22
这款京鲜生精选红肉蜜柚，品质非常好，价格又实惠。红心柚子，一箱粒装，单果斤，够大又新鲜。我先买了一箱看到品质好，仅隔一天又买了第二箱，就怕错过了这时节的这批柚子。,5,2023-09-16 09:06:49
个头够大，真的有公斤一个，里面红心的据说非常甜，这个也是凑单的，京东自营上门送货才买的，非常方便，划到元一个，真不错。,5,2023-09-15 21:16:39
这柚子甜，水分足！第一次在京东上买柚子，感觉非常好。快递就不用说了，那是一如既往得快。柚子很新鲜，皮剥开以后就能看出来非常的好，柚子水分充足，颗粒饱满。吃起来也很甜，真的很好。以后还会继续支持京东。,5,2023-09-15 11:31:46
柚子超级大颗，也很重，水分足，柚子皮太香了，还可以放冰箱出味道。好吃，买了份，另外一份送朋友吃。京东自营水果真是太棒了！,5,2023-09-13 19:40:09
清香可口，剥开皮薄肉多，汁水也特别多，很饱满，一口下去，水分很多，还特别甜，味道特别赞！比我之前任何地方买的都好吃，看着就特别有食欲，无限回购,5,2023-09-13 17:02:50
正宗三红蜜柚，很新鲜，口感很好，果肉饱满，很好吃，酸甜可口。物流速度很快，服务态度很棒，以前一直都是在实体店买，这次选择了网上买，不光是正品，价格还实惠！,5,2023-09-11 22:07:58
柚子非常不错口感好水分挺足皮薄肉厚汁多颗粒饱满皮子很薄破开有一股淡淡的清香闻着让口水特别酸甜口感不错建议去掉籽用温水泡着喝口感也很新鲜每天当减肥餐吃比较便宜很喜欢的真是不错诶,5,2023-09-11 19:29:01
活动价格非常划算，现在刚好是吃柚子的季节，个头饱满，柚子肉多汁酸甜，全家人都爱吃。很新鲜也可以存放挺久的，家庭囤货好水果,5,2023-09-10 10:43:06
红蜜柚挺好的，个头很大，也很新鲜。柚子不是太甜，包装也很好，没有破损。服务态度很好。京东冷鲜链配送，质量有保障，物流速度快，送货上门，超市还方便。,5,2023-09-10 10:05:40
非常棒的一次水果购物体验，很不错的水果。期待下一次的购物会更好！一直喜欢在京东购物呢，比实体水果的多品质还要好呢！真不错呢,5,2023-09-10 07:36:10
之前买过，水分不错，吃柚子的时候到了，很满意，甜甜的，比水果店便宜，性价比很高，到货很快，很方便，吃完再来买，一个一顿就造没了。,5,2023-09-09 23:31:31
京鲜生海南红肉蜜柚一箱两个皮薄肉多值得推荐购买五星好评以后还会继续回购,5,2023-09-09 18:44:19
柚子收到货啦，物超所值，话不多说，这四个字已经说明了一切，很满意的一次购物，商家服务好，发货神速，物流也很给力，宝贝收到后非常喜欢，买得放心，吃得安心,5,2023-09-09 00:12:06
收到货以后立马检查，产品包装完好，立马拆箱货品很好，价格也特别实惠，吃起来特别好吃，家人很满意，京东自营，值得信赖，以后会一直购买,5,2023-09-08 22:46:16
整体来说还是很不错的，店家服务态度很好，而且质量也很好，没有异味物流满分，包装快递满分，配送员态度满分，购物让人开心，吃土使我快乐整体来说还是很不错的，店家服务态度很好，而且质量也很好，没有异味,5,2023-09-08 02:11:29
我太太儿子很喜欢吃。这次买的柚子整体还可以，现在吃了几个，其中有一个里面是黄色的柚子，吃起来是有点点苦味道，不过大体上整体还是可以的，家人及孩子都喜欢吃！总体来说非常满意！还没吃！一天就到货了！我太太儿子很喜欢吃。,5,2023-09-05 19:06:44
水果新鲜，价格便宜，物流也很快，物有所值，下次还会选择回购的，水果新鲜，价格便宜，物流也很快，物有所值，下次还会选择回购的，,5,2023-09-05 13:53:55
京东自营的东西，一直都很放心，这次购买的红柚，口感也很不错，不酸，偏甜，分量足够，一点不差，包装也很好，刚回来没几天就吃完了。,5,2023-09-04 22:01:11
秋天就是要多吃水果，补水！补水！活动价买的，很满意，个头很大，准备放两天再吃。好多小伙伴都买了，划算！,5,2023-09-04 13:24:27
总体不错，价格也实惠，好东西值得推荐和购买，京东物流也很给力，当天送达，快递小哥也很辛苦，点赞，包装也算可以，也很新鲜，,5,2023-09-03 20:35:33
买的一箱有个大柚子，挺重的，打开一个吃水分挺足的很不错。很划算性价比很高。吃完要继续买买买。果肉是红心的。酸酸甜甜的好,5,2023-09-03 14:25:21
现在的柚子水分还可以，到货很快，很方便，比水果店便宜多了，很满意很满意，吃完再来买，吃了不上火，一下子多买点囤着，放冰箱里慢慢吃。,5,2023-09-03 13:20:31
柚子一次性买了箱，感觉这个性价比还是很高的哈。毕竟这个价格能买个，和我在实体店买的一样的，口感不错哈。京东自营的产品就是品质高。,5,2023-09-02 13:56:54
之前京东买过这款红心儿的柚子，买了三个，吃完了，就又买了两个。整体味道偏微甜，没有酸味，符合我口味，家里人也很喜欢。柚子新鲜、皮好剥，价格公道，满意。,5,2023-09-02 12:55:28
水分充足个头大价格实惠，果子非常均匀包装的挺好呀没有破损之类的现象，柚子个头大小均匀，上午下单，下午就送到了，自营靠谱，,5,2023-09-02 06:40:51
果子很甜，看着也不错，女朋友很喜欢，果子很甜，看着也不错，女朋友很喜欢，果子很甜，看着也不错，女朋友很喜欢，果子很甜，看着也不错，女朋友很喜欢，,5,2023-08-28 13:50:21
非常不错哟，我本来以为这么便宜，是那种小柚子，结果还是给了四个这么大个的，太划算了，这个在超市买，根本是买不到的，价格如此亲民，给京东点赞,5,2023-08-27 14:13:11
店家发货速度很快，快递也很给力第二天就好了，每一个柚子都大大的椭圆的汁水也很多，口感酸甜度也是可以的，会继续回购的。点赞,5,2023-08-27 13:39:03
这个果子真的很大，价格要比我们县城里便宜很多，我们县城一个柚子八十多，这个里面的果肉也很饱满，汁水很多，老婆很喜欢，孕期全靠京东的果子了。,5,2023-08-27 07:52:15
柚子很新鲜，颗粒饱满，甜度合适；京东的品质和送货速度一直有保障，以后会无限回购的，希望京东越来越好，服务态度也很满意的。,5,2023-08-25 19:10:45
收到了，很大的两个，买的红心的，红心的特别好吃，也挺甜的，送货上门的，师傅也很好，前一天下单，第二天早上就送到了，很不错,5,2023-08-24 11:04:03
皮薄水分多，越吃越好吃开箱就能闻到柚香味，每个都沉甸甸的，个头大小均匀，皮薄肉多，水分很足，酸酸甜甜的，我最喜欢吃这种酸甜可口的！,5,2023-08-24 10:15:14
不错的柚子，价格也是比较实惠的哦，口感也很好的哦，一次买了好几个，满满吃，还是比较喜欢的，送货速度也是非常的给力，服务态度也很不错的,5,2023-08-22 16:30:46
给奶奶买的红心柚子，她说很脆很甜好吃的，炎热夏天的消暑必备，京东买的放心，物流快低二天就到了，拿快递也方便以后买水果还会在京东购买的,5,2023-08-21 16:10:40
马上到了吃柚子的季节了，红心蜜柚是我的最爱，红心的比黄心的要软糯，口感比较嫩，而且红颜色的感觉比黄颜色的更甜，更清香，京东物流非常快，点个赞,5,2023-08-18 09:51:15
为了活动价凑单买的，到货比预期好很多，包装完好无损，水果也非常新鲜，外皮很薄，果肉汁水丰盈，甜度也非常高，这个季节吃正好补充维生素。,5,2023-10-03 10:05:13
在京东买东西很好，这款柚子是长期在京东买的，品质和服务都可以得到保障，而且送货都一如既往地好，京东服务越来越好了！不错哦！,5,2023-10-01 17:26:45
京东的水果搞活动是真的便宜啊，买了四个柚子，这个柚子水分还是很足的，挺好吃的，反正我吃过很多柚子也觉得这个不错，好评好评,5,2023-09-30 09:22:25
京鲜生精选福建琯溪红肉蜜柚粒装单果重斤生鲜水果京鲜生买水果首选，最近一直在买水果送礼呢，非常好。,5,2023-09-25 16:59:22
看上这款宝贝已经很久了，终于到手了，挑来挑去挑了这家，事实证明我的眼光还是很好的哟，没有让我失望，发货快，物流快。。。。,5,2023-09-21 20:23:27
红心柚子收到了，包装的挺好呀！表皮光滑，闻着很好吃，皮有点厚，水分多，酸甜的味道，越吃越好吃，看着就特别有食欲，一口咬下去满满的汁水，香味特别浓郁，很不错。很饱满，一口下去，水分很多，水分多多！还会在来光顾的，想吃柚子亲不要在犹豫了快快下手,5,2023-09-20 12:00:28
品质一级棒，包装也不错，物流很快，而且价格合理，很实惠，很喜欢特别特别棒，货比三家才买的，店主人很好，回答问题很有耐心，也很详细，有需要还会再来的的水分。。还不错。。,5,2023-09-09 10:10:37
在这家店给家人买了四箱过给中秋节，柚子大小可以，家里人说水分还可以，酸甜可口。吃了月饼后再吃一瓣柚子简直是太完美了，解腻。,5,2023-10-06 11:23:18
